author,datePublished,summary,title
,"June 3, 2019 /  7:09 AM / Updated 9 hours ago","FRANKFURT (Reuters) - Infineon Technologies expects to keep its investment grade credit rating after its 9 billion euro ($10 billion) agreed acquisition of U.S. Cypress Semiconductor, Chief Financial Officer Sven Schneider said on Monday.  ",Infineon expects to keep investment grade rating after Cypress deal
Idrees Ali,"June 2, 2019 /  10:15 AM / in a day","SEOUL (Reuters) - The Pentagon has told the White House that the U.S. military will not be politicized, a U.S. official said on Sunday, in response to a controversy after officials directed the United States Navy to keep the USS John S. McCain out of sight during a recent speech by President Donald Trump in Japan.  ","Amid USS McCain controversy, Pentagon says military will not be politicized"
"Arno Schuetze,Douglas Busvine","June 3, 2019 /  5:34 AM / Updated 5 hours ago","FRANKFURT (Reuters) - Germany’s Infineon has agreed to buy Silicon Valley-based Cypress Semiconductor for $10 billion, in an expensive move by Europe’s largest chip-maker to expand further in next-generation automobiles and Internet technologies. ",Infineon revs up auto business with $10 billion Cypress deal
"Sharon Bernstein,Tim Reid","June 1, 2019 /  6:41 PM / a day ago","SAN FRANCISCO (Reuters) - (This June 1 story has been corrected to remove reference in paragraphs 12, 14-15 to a pamphlet purporting to be from the campaign of former Vice President Joe Biden, criticizing Bernie Sanders. It was not from Biden. Corrects spelling of Senator Booker’s name in fifth paragraph.) ","'Oh my God, is that Bernie Sanders?' Democrats swarm San Francisco"
"Sharon Bernstein,Tim Reid","June 2, 2019 /  7:26 PM / Updated a day ago","SAN FRANCISCO (Reuters) - U.S. Senator Bernie Sanders on Sunday called on California Democrats to unite against Donald Trump, kicking the 2020 presidential campaign into high gear with jabs against the Republican president and a veiled swipe at Democratic rival Joe Biden. ",Sanders kicks fight against Trump into high gear as Democrats swarm San Francisco
Sam Nussey,"June 3, 2019 /  6:49 AM / Updated 10 hours ago","TOKYO (Reuters) - Japan’s SoftBank Corp said on Monday it will launch a service this year that would use satellite navigation data and the telco’s mobile base stations to help power self-driving buses, drones and farm machinery. ","SoftBank's service to help power self-driving buses, farm machinery"
,"June 3, 2019 /  1:04 PM / Updated 6 hours ago",LONDON (Reuters) - U.S. President Donald Trump is visiting Britain this week on a state visit and is likely to urge the government to decide against allowing Chinese company Huawei to take part in its 5G telecoms infrastructure. ,Where do Britain's candidates for prime minister stand on Huawei?
,"June 3, 2019 /  1:49 PM / Updated 5 hours ago",(Reuters) - Chipmaker Advanced Micro Devices shares rose 7 percent in early trading on Monday after the company announced a deal with Samsung Electronics Co Ltd that could allow it to better compete with Nvidia Corp. ,AMD shares rise on mobile graphics tie-up with Samsung
"Sarah N. Lynch,Andy Sullivan","May 29, 2019 /  1:49 PM / 4 days ago",WASHINGTON (Reuters) - U.S. Special Counsel Robert Mueller said on Wednesday his probe into Russian interference in the 2016 election was never going to end with criminal charges against President Donald Trump but he did not clear him and indicated it was up to Congress to decide whether he should be impeached. ,Mueller says he could not charge Trump as Congress weighs impeachment
,"May 30, 2019 /  1:48 AM / 4 days ago", (The May 29 story corrects ship’s namesake in paragraph 5) ,Trump says he was not told of request to move USS John McCain 'out of sight'
,"June 3, 2019 /  7:34 AM / Updated 6 hours ago","LONDON (Reuters) - Britain takes careful notice of what the United States says on the risks of using Huawei in 5G networks and does not want to be overly dependent on a third country for certain technologies, Foreign Secretary Jeremy Hunt said on Monday. ","Britain listens to the United States on Huawei, foreign minister says"
,"May 30, 2019 /  7:50 AM / 4 days ago","BEIJING (Reuters) - China is willing to meet reasonable demand for rare earths from other countries, but it would be unacceptable that countries using Chinese rare earths to manufacture products would turn around and suppress China, its commerce ministry said.  ",China willing to meet reasonable rare earth demand from other countries
Foo Yun Chee,"June 3, 2019 /  2:04 PM / Updated 5 hours ago","PARIS (Reuters) - EU regulators will decide what steps to take regarding Spotify’s complaint about Apple once they get a response from the iPhone maker, Europe’s antitrust chief said on Monday. ",EU wants to hear from Apple over Spotify complaint
"Gabriella Borter,Alex Dobuzinskis","May 29, 2019 /  7:01 PM / 4 days ago","(Reuters) - Louisiana’s Democratic governor said on Wednesday he would sign a bill passed earlier in the day to ban abortion when a fetal heartbeat is detected, the latest legislation in a movement in mostly Southern and Midwest states to curb abortion rights. ","Louisiana governor to sign 'heartbeat' ban, latest move to curb U.S. abortion rights"
Makiko Yamazaki,"May 30, 2019 /  6:37 AM / 4 days ago","TOKYO (Reuters) - Japan Display Inc said on Thursday a Chinese-Taiwanese consortium will formalize its decision to invest in it by June 14, after client Apple Inc agreed to wait for money owed and a government-backed fund offered to waive debt. ","Japan Display gets debt relief, says consortium to formalize bailout"
,"May 29, 2019 /  2:53 AM / 4 days ago","BEIJING (Reuters) - China is ready to use rare earths to strike back in a trade war with the United States, Chinese newspapers warned on Wednesday in strongly worded commentaries on a move that would escalate tensions between the world’s two largest economies. ",China ready to hit back at U.S. with rare earths: newspapers
,"May 29, 2019 /  8:21 PM / 4 days ago","(Reuters) - Alphabet Inc’s Google on Wednesday banned apps on its app store that facilitate the sale of marijuana or related products, as part of a change to its content policy. ",Google bans apps that facilitate sale of marijuana
,"May 30, 2019 /  3:31 PM / 4 days ago","WASHINGTON (Reuters) - U.S. President Donald Trump and British Prime Minister Theresa May will discuss Chinese technology company Huawei Technologies and the effort to build a fifth generation cellular network during the U.S. leader’s visit to London next week, a British official said on Thursday. ","Trump, May to discuss Chinese firm Huawei in London next week: British official"
,"May 30, 2019 /  1:33 PM / 4 days ago",SHANGHAI (Reuters) - Beijing-based technology research group The China Computer Federation (CCF) is suspending communications with a U.S. based engineers’ association in the latest example of fallout from the U.S. embargo on phone maker Huawei Technologies [HWT.UL]. ,Chinese computer research body to cut ties with division of U.S.-based IEEE
"Nichola Groom,Makiko Yamazaki","May 30, 2019 /  11:02 AM / 4 days ago","LOS ANGELES/TOKYO (Reuters) - Most of the solar cells made by Panasonic at Tesla Inc’s New York manufacturing plant are being purchased by H.R.D. Singapore’s factories in the Philippines, a chief supplier of panels to Japanese eco-homebuilder Ichijo Co Ltd, two sources familiar with the arrangement said. ",Exclusive: Tesla woes send Panasonic's U.S. solar cells to Philippines
Guy Faulconbridge,"May 30, 2019 /  2:21 PM / 4 days ago","LONDON (Reuters) - Britain may not have made a final decision on allowing China’s Huawei a restricted role in building parts of its 5G network, U.S. President Donald Trump’s national security adviser John Bolton said on Thursday. ",Britain may not have made final decision on Huawei and 5G: Bolton says
Katie Paul,"June 1, 2019 /  5:08 AM / 3 days ago","SAN FRANCISCO (Reuters) - A U.S. judge on Friday denied Facebook Inc.’s request to dismiss a lawsuit by the Washington, D.C. attorney general over the social media giant’s improper sharing of 87 million users’ data with British political consulting firm Cambridge Analytica. ",U.S. judge waves through D.C. case against Facebook
"Melissa Fares,Sonya Dowsett","May 30, 2019 /  10:12 AM / 4 days ago",NEW YORK/MADRID (Reuters) - The holy grail for apparel brands facing rising uncertainty and cost in their global supply chains is to make their merchandise closer to the point of the sale. ,'Merch by Amazon' t-shirt business increasing orders from Disney to Dr. Seuss
,"June 2, 2019 /  8:46 PM / Updated 20 hours ago","(Reuters) - Facebook Inc is in talks with the U.S. derivatives regulator, the Commodity Futures Trading Commission (CFTC), over the social media company’s plans for a digital currency, the Financial Times reported on Sunday. ",Facebook in talks with U.S. derivatives regulator over digital currency plans: FT
,"May 30, 2019 /  4:31 PM / 4 days ago","(Reuters) - Canadian telecom provider Rogers Communications Inc’s vice chairman, Philip Lind, said on Thursday that Huawei Technologies Co should be banned from Canada’s 5G network, Bloomberg reported. ",Rogers vice chairman calls for banning Huawei from Canada's 5G network: Bloomberg
Lisa Barrington,"June 2, 2019 /  6:13 PM / a day ago","DUBAI (Reuters) - Bahrain, a U.S. ally that hosts the Navy’s Fifth Fleet, has warned citizens and residents that following anti-government social media accounts could result in legal action, hardening a government campaign against critical online voices.  ",Bahrain says following opposition social media could result in legal action
,"June 2, 2019 /  4:39 AM / 2 days ago","(Reuters) - U.S. antitrust regulators have divided oversight of Amazon.com Inc and Alphabet Inc’s Google, putting Amazon under the watch of the Federal Trade Commission and Google under the Justice Department, the Washington Post said on Saturday. ",U.S. regulators divide scrutiny of Amazon and Google: Washington Post
Diane Bartz,"June 1, 2019 /  12:44 AM / 2 days ago","(Reuters) - The U.S. Justice Department is preparing an investigation of Alphabet Inc’s Google to determine whether the tech giant broke antitrust law in operating its sprawling online businesses, two sources familiar with the matter said. ",U.S. Justice Department prepares Google antitrust probe: sources
,"June 3, 2019 /  1:42 AM / Updated 17 hours ago","SHANGHAI (Reuters) - The Institute of Electrical and Electronics Engineers (IEEE) said on Monday curbs on employees of Huawei Technologies and its subsidiaries have been lifted, and they would be allowed to participate in a peer review process for its research papers. ",U.S.-based engineers' body lifts curbs on Huawei employees
,"June 3, 2019 /  2:54 AM / Updated 15 hours ago","(Reuters) - German chipmaker Infineon Technologies AG is nearing a deal to buy Cypress Semiconductor Corp, valuing the U.S. chipmaker at almost $10 billion, Bloomberg reported on Sunday. ",Germany's Infineon close to acquiring Cypress Semiconductor: Bloomberg
Uday Sampath Kumar,"June 2, 2019 /  10:19 PM / Updated 14 hours ago","(Reuters) - Alphabet Inc’s Google said on Sunday it had resolved the network congestion in the eastern United States that affected services in Google Cloud, G Suite and YouTube. ","Google says issues affecting YouTube, Gmail, Google Cloud in U.S. resolved"
Sijia Jiang,"June 3, 2019 /  3:34 AM / Updated 13 hours ago","HONG KONG (Reuters) - Huawei Technologies Co Ltd plans to sell its undersea telecom cable business, showed a buyer’s filing on Monday, in its first major asset sale since the United States ratcheted up accusations of the Chinese firm being a vehicle for espionage. ","China's Huawei to sell undersea cable business, buyer's exchange filing shows"
Gary McWilliams,"June 3, 2019 /  4:34 AM / Updated 14 hours ago","(Reuters) - Huawei Technologies, the Chinese telecommunications equipment supplier fighting a U.S. sales ban, kicks off a trade secrets lawsuit in the United States on Monday against a former employee who has sought to turn the case into a referendum on Huawei’s corporate behavior. ",Huawei trade secrets lawsuit opens in Texas amid spying allegations
,"June 3, 2019 /  6:24 PM / Updated 32 minutes ago","WASHINGTON (Reuters) - Donald Trump’s son-in-law and White House adviser Jared Kushner denied that he spoke with the president about his security clearance, according to an interview with the Axios news outlet that comes amid a congressional investigation of the issue.  ",Kushner denies discussing his security clearance with Trump
,"June 3, 2019 /  4:04 PM / Updated 3 hours ago","(Reuters) - Quest Diagnostics Inc said on Monday it was notified by a billing collections vendor that an unauthorized user gained access to information on nearly 11.9 million patients, including credit card numbers and bank account information.      ",Quest Diagnostics says data breach could have hit 11.9 million patients
